Area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,121.0,121.0,121.0,121.0,201.0,251.0,262.40000000000003,273.79999999999995,285.18,296.59,307.98,319.38,330.78000000000003,342.18,353.56,364.97,376.37,387.76,399.16,410.55,590.5,582.69,361.63,450.59999999999997,457.46999999999997,538.24,584.49,614.9100000000001,442.35,746.36,401.57,433.3,295.61
Algeria,5743.47,7094.39,3876.1800000000003,3710.01,4058.62,6255.63,2190.89,1822.1599999999999,1498.96,2228.17,2537.3999999999996,2846.63,3155.88,3465.11,3774.35,2810.6000000000004,2504.01,3562.5299999999997,5720.110000000001,3168.41,1869.5800000000002,7612.21,8980.17,8269.57,7151.5199999999995,4516.93,4153.379999999999,6067.35,6067.35,6067.35,6067.35,6067.35,6067.35
Andorra,14.12,14.129999999999999,14.12,14.12,14.120000000000001,12.82,12.319999999999999,14.17,15.4,15.11,18.54,18.0,18.43,11.74,11.79,12.41,14.57,15.01,14.93,13.39,12.73,13.43,13.69,17.27,15.42,16.28,13.4,13.93,13.540000000000001,14.370000000000001,16.25,17.3,17.82
Angola,64.0,79.0,23.0,169.0,89.5,336.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Anguilla,23.07,23.07,23.07,23.06,23.060000000000002,23.05,23.060000000000002,23.05,23.07,23.06,22.330000000000002,23.11,23.82,24.63,26.3,30.45,36.8,48.6,58.04,65.92,65.92,65.91,65.91,65.92,65.91,65.91,65.92,65.9,65.89999999999999,65.91,65.9,65.9,65.92999999999999
Antigua and Barbuda,289.44,289.44,289.44,289.44,289.44,289.44,289.44,289.44,289.45,265.94,260.19,272.21,325.49,378.76,432.05,410.5,347.26,291.82,318.99,379.81,341.78,781.9499999999999,694.16,685.07,174.46,175.92,180.2,182.95000000000002,199.76999999999998,219.64000000000001,250.03,250.95,251.4
Argentina,26156.0,26156.0,26156.0,26156.0,30195.0,37842.0,54595.0,77691.0,62397.0,73293.05,84189.07999999999,95085.12000000001,105981.17,116877.2,127773.24,138669.28,149565.33000000002,186790.2,203369.35,140094.8,235739.09999999998,220610.03999999998,216308.69999999998,212007.35,207706.0,203807.0,199908.0,196009.0,172928.0,204559.0,241294.18,241519.98,262506.93
Armenia,,,8.0,8.0,23.0,23.9,32.0,41.46,50.92,60.379999999999995,69.85,79.31,88.77,98.23,204.77,220.51,227.54999999999998,241.71,218.20000000000002,198.36,278.72,320.67,362.62,404.58,446.52000000000004,488.46999999999997,530.4200000000001,572.36,614.32,527.33,639.16,914.03,891.82
Aruba,148.21,155.17,169.11,189.98999999999998,210.87,231.76,252.64000000000001,273.53000000000003,294.42,315.28,336.18,357.07,377.94,398.83,419.72,440.6,461.49,482.37999999999994,503.27000000000004,524.82,537.55,501.67999999999995,458.57,410.09,390.53000000000003,454.46999999999997,459.14,466.77,387.95,403.89,457.71,491.17,507.92
Australia,17866.68,17866.68,22235.4,23898.78,21056.73,25598.14,31185.350000000002,34091.82,37215.04,34200.0,33475.36,32709.67,26650.44,32417.64,36276.8,34309.93,35901.12,32446.239999999998,42935.38,38065.68,42169.39,47632.99,48687.880000000005,45177.18,49857.35999999999,50921.6,63416.48,59634.01,59634.01,59634.01,59634.01,59634.01,59634.01
Austria,4246.0,4487.0,3897.0,3984.0,3619.0,3402.0,3565.0,3689.6,3340.3,3418.6,3563.2000000000003,3132.2000000000003,3079.2000000000003,3384.9,3301.7,3404.0,3415.7,3526.6,4246.7,3531.8,3692.3999999999996,3441.5,3563.3,3098.45,3373.63,3778.21,4361.48,4625.88,5279.55,4954.46,5567.03,5790.56,6068.7300000000005
Azerbaijan,,,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,262.99,316.18,333.85,461.84,516.35,489.8,531.84,529.69,542.8199999999999,542.8199999999999,542.8199999999999,542.8199999999999,542.8199999999999,542.8199999999999,542.8199999999999
