Year,Pesticide Type,Usage
1990,Fungicides and Bactericides,44.0
1991,Fungicides and Bactericides,44.0
1992,Fungicides and Bactericides,44.0
1993,Fungicides and Bactericides,44.0
1994,Fungicides and Bactericides,74.0
1995,Fungicides and Bactericides,94.0
1996,Fungicides and Bactericides,96.36
1997,Fungicides and Bactericides,98.71
1998,Fungicides and Bactericides,101.07
1999,Fungicides and Bactericides,103.43
2000,Fungicides and Bactericides,105.78
2001,Fungicides and Bactericides,108.14
2002,Fungicides and Bactericides,110.5
2003,Fungicides and Bactericides,112.86
2004,Fungicides and Bactericides,115.21
2005,Fungicides and Bactericides,117.57
2006,Fungicides and Bactericides,119.93
2007,Fungicides and Bactericides,122.28
2008,Fungicides and Bactericides,124.64
2009,Fungicides and Bactericides,127.0
2010,Fungicides and Bactericides,188.68
2011,Fungicides and Bactericides,208.77
2012,Fungicides and Bactericides,177.64
2013,Fungicides and Bactericides,182.67
2014,Fungicides and Bactericides,277.78
2015,Fungicides and Bactericides,236.65
2016,Fungicides and Bactericides,232.42
2017,Fungicides and Bactericides,241.7
2018,Fungicides and Bactericides,198.96
2019,Fungicides and Bactericides,352.06
2020,Fungicides and Bactericides,228.24
2021,Fungicides and Bactericides,248.54
2022,Fungicides and Bactericides,110.44
1990,Fungicides and Bactericides,3275.4
1991,Fungicides and Bactericides,3712.8
1992,Fungicides and Bactericides,1898.4
1993,Fungicides and Bactericides,1909.8
1994,Fungicides and Bactericides,2084.4
1995,Fungicides and Bactericides,2999.4
1996,Fungicides and Bactericides,553.8
1997,Fungicides and Bactericides,106.8
1998,Fungicides and Bactericides,215.4
1999,Fungicides and Bactericides,633.0
2000,Fungicides and Bactericides,736.05
2001,Fungicides and Bactericides,839.1
2002,Fungicides and Bactericides,942.15
2003,Fungicides and Bactericides,1045.2
2004,Fungicides and Bactericides,1148.26
2005,Fungicides and Bactericides,1099.13
2006,Fungicides and Bactericides,608.06
2007,Fungicides and Bactericides,779.25
2008,Fungicides and Bactericides,742.94
2009,Fungicides and Bactericides,1207.01
2010,Fungicides and Bactericides,1123.39
2011,Fungicides and Bactericides,1800.0
2012,Fungicides and Bactericides,1848.6
2013,Fungicides and Bactericides,1216.8
2014,Fungicides and Bactericides,1203.0
2015,Fungicides and Bactericides,1739.98
2016,Fungicides and Bactericides,1171.26
2017,Fungicides and Bactericides,1576.85
2018,Fungicides and Bactericides,1576.85
2019,Fungicides and Bactericides,1576.85
2020,Fungicides and Bactericides,1576.85
2021,Fungicides and Bactericides,1576.85
2022,Fungicides and Bactericides,1576.85
1990,Fungicides and Bactericides,6.02
