Year,Fungicides and Bactericides,Herbicides,Insecticides,Other Pesticides nes,Plant Growth Regulators,Rodenticides
1990,492159.82,762410.67,517431.34,135714.31,37237.25,15868.85
1991,486243.23000000004,760035.24,515066.7,136015.13,34248.25,16136.55
1992,493199.8,785617.85,521176.32999999996,129893.88,33903.43,17199.05
1993,517168.74,783441.8,532516.29,125159.04,28175.21,18759.11
1994,513468.7,832442.57,562554.7999999999,134044.87,25631.37,19884.03
1995,526900.86,853122.05,600596.04,139800.23,31990.96,20903.37
1996,531138.11,915390.85,617311.46,133127.63,31745.76,21473.23
1997,571925.84,941472.71,617929.61,149756.52,25779.52,21310.44
1998,594929.29,955595.96,591524.17,178110.28,26423.87,21292.38
1999,595082.15,972757.47,611487.98,198351.81,26747.74,21210.41
2000,585938.29,983094.24,611538.12,194882.44999999998,29289.79,21158.35
2001,562862.93,1032589.91,588849.09,192045.52,31299.079999999998,21483.25
2002,574521.6,1035537.1799999999,608170.5,191295.12,30898.49,22869.789999999997
2003,582395.04,1117127.09,622323.35,194740.81,32183.14,22876.83
2004,628139.39,1148678.16,685521.6,201155.71,34639.47,23242.089999999997
2005,637582.59,1210517.08,711020.5,203402.81,34483.28,22487.8
2006,626470.36,1248780.23,673421.7,203920.31,36168.81,23507.600000000002
2007,672897.39,1400580.04,745575.06,206172.48,36782.63,25259.079999999998
2008,693319.97,1454383.12,750923.75,195858.1,38272.82,19543.32
2009,683916.5599999999,1389024.99,750070.17,188597.59,36087.86,13363.71
2010,746583.9400000001,1572289.1199999999,833982.71,167658.31,36800.0,15649.81
2011,757584.77,1645402.29,781554.94,153636.47,45005.42,12088.34
2012,766948.7,1753210.3599999999,801682.7000000001,169877.45,49994.63,13336.96
2013,776942.76,1731779.8399999999,876488.1,168325.84,50256.75,15317.59
2014,823537.99,1711761.47,865817.5,163766.06,47399.340000000004,13376.22
2015,813272.97,1732538.22,871296.71,183588.21,47023.88,15503.57
2016,841219.23,1788194.88,891864.96,191130.61,49960.58,17113.56
2017,801760.69,1772591.41,858466.72,179578.94,51411.71,15452.7
2018,826656.11,1747683.29,854214.62,200368.97,49602.340000000004,15177.46
2019,797304.53,1919132.69,793754.05,180193.0,47497.82,16860.36
2020,785873.11,1967495.75,738253.26,154120.44,45894.61,14843.16
2021,880769.82,1925009.53,813555.31,124546.35,49745.590000000004,17267.36
2022,855633.59,2040233.06,836194.83,122613.83,54166.21,17807.43
