Country,Year,Element,Total,Continent,alpha-3,Percentage
Albania,2020,Import quantity,27.0,Europe,ALB,0.03340550572223941
Andorra,2020,Import quantity,0.0,Europe,AND,0.0
Angola,2020,Import quantity,7.0,Africa,AGO,0.008660686668728735
Anguilla,2020,Import quantity,0.0,Americas,AIA,0.0
Antigua and Barbuda,2020,Import quantity,2.0,Americas,ATG,0.0024744819053510673
Argentina,2020,Import quantity,2000.0,Americas,ARG,2.4744819053510674
Aruba,2020,Import quantity,5.0,Americas,ABW,0.006186204763377668
Australia,2020,Import quantity,163.0,Oceania,AUS,0.20167027528611198
Austria,2020,Import quantity,137.0,Europe,AUT,0.1695020105165481
Azerbaijan,2020,Import quantity,136.0,Asia,AZE,0.16826476956387257
Bahamas,2020,Import quantity,11.0,Americas,BHS,0.01360965047943087
Bangladesh,2020,Import quantity,1026.0,Asia,BGD,1.2694092174450975
Barbados,2020,Import quantity,23.0,Americas,BRB,0.02845654191153727
Belarus,2020,Import quantity,108.0,Europe,BLR,0.13362202288895764
Belgium,2020,Import quantity,242.0,Europe,BEL,0.29941231054747913
Belize,2020,Import quantity,0.0,Americas,BLZ,0.0
Benin,2020,Import quantity,23.0,Africa,BEN,0.02845654191153727
Bermuda,2020,Import quantity,0.0,Americas,BMU,0.0
Bhutan,2020,Import quantity,2.0,Asia,BTN,0.0024744819053510673
Bosnia and Herzegovina,2020,Import quantity,4.0,Europe,BIH,0.0049489638107021346
Botswana,2020,Import quantity,23.0,Africa,BWA,0.02845654191153727
Brazil,2020,Import quantity,38262.0,Americas,BRA,47.33931333127126
Brunei Darussalam,2020,Import quantity,52.0,Asia,BRN,0.06433652953912775
Bulgaria,2020,Import quantity,179.0,Europe,BGR,0.2214661305289205
Burundi,2020,Import quantity,4.0,Africa,BDI,0.0049489638107021346
Cambodia,2020,Import quantity,388.0,Asia,KHM,0.480049489638107
Canada,2020,Import quantity,304.0,Americas,CAN,0.3761212496133622
